update,timesteps,fps,incre_win_rate_mean,eval_win_rate
0,1600,78.0,,
5,9600,58.0,0.0,0.0
10,17600,67.0,0.0,
15,25600,70.0,0.0,
20,33600,72.0,0.0,
25,41600,74.0,0.0,
30,49600,74.0,0.0,0.0
35,57600,74.0,0.0,
40,65600,74.0,0.0,
45,73600,73.0,0.0,
50,81600,73.0,0.0,
55,89600,72.0,0.0,0.0
60,97600,72.0,0.0,
65,105600,73.0,0.002551020408163265,
70,113600,73.0,0.0,
75,121600,73.0,0.005277044854881266,
80,129600,72.0,0.005420054200542005,0.1875
85,137600,72.0,0.008130081300813009,
90,145600,72.0,0.03038674033149171,
95,153600,72.0,0.027700831024930747,
100,161600,72.0,0.027777777777777776,
105,169600,72.0,0.019498607242339833,0.03125
110,177600,72.0,0.029498525073746312,
115,185600,72.0,0.03724928366762178,
120,193600,72.0,0.011235955056179775,
125,201600,72.0,0.020172910662824207,
130,209600,72.0,0.03651685393258427,0.0
135,217600,72.0,0.02,
140,225600,72.0,0.05217391304347826,
145,233600,72.0,0.043731778425655975,
150,241600,72.0,0.04081632653061224,
155,249600,71.0,0.026239067055393587,0.09375
160,257600,71.0,0.0621301775147929,
165,265600,70.0,0.08902077151335312,
170,273600,70.0,0.06287425149700598,
175,281600,71.0,0.08708708708708708,
180,289600,70.0,0.06006006006006006,0.15625
185,297600,70.0,0.08108108108108109,
190,305600,71.0,0.10060975609756098,
195,313600,71.0,0.0856269113149847,
200,321600,71.0,0.10060975609756098,
205,329600,71.0,0.09538461538461539,0.34375
210,337600,71.0,0.17337461300309598,
215,345600,71.0,0.15337423312883436,
220,353600,71.0,0.1393188854489164,
225,361600,71.0,0.11801242236024845,
230,369600,71.0,0.09815950920245399,0.28125
235,377600,71.0,0.184375,
240,385600,71.0,0.1289308176100629,
245,393600,71.0,0.16199376947040497,
250,401600,71.0,0.24375,
255,409600,71.0,0.17080745341614906,0.25
260,417600,71.0,0.16408668730650156,
265,425600,71.0,0.18153846153846154,
270,433600,71.0,0.18553459119496854,
275,441600,71.0,0.16875,
280,449600,72.0,0.18181818181818182,0.3125
285,457600,72.0,0.20440251572327045,
290,465600,72.0,0.2334384858044164,
295,473600,73.0,0.1892744479495268,
300,481600,73.0,0.19558359621451105,
305,489600,73.0,0.2555205047318612,0.34375
310,497600,73.0,0.22429906542056074,
315,505600,74.0,0.20307692307692307,
320,513600,74.0,0.22429906542056074,
325,521600,73.0,0.16358024691358025,
330,529600,73.0,0.23510971786833856,0.1875
335,537600,74.0,0.2334384858044164,
340,545600,74.0,0.2006172839506173,
345,553600,74.0,0.2087227414330218,
350,561600,74.0,0.22955974842767296,
355,569600,74.0,0.2345679012345679,0.1875
360,577600,74.0,0.2260061919504644,
365,585600,74.0,0.17484662576687116,
370,593600,74.0,0.2360248447204969,
375,601600,74.0,0.27076923076923076,
380,609600,74.0,0.2267080745341615,0.34375
385,617600,75.0,0.24528301886792453,
390,625600,75.0,0.23219814241486067,
