version,step,R_mean,G_n_mean,n,q_tot_pred_mean,drbfn_loss,qi_loss,qtot_loss
3,40,0.1004,0.4913,5,0.3091,0.6509,0.0069,0.2256
3,50,0.0884,0.4411,5,0.4915,0.6393,0.0048,0.1678
3,60,0.073,0.3758,5,0.4407,0.6195,0.0023,0.0984
3,70,0.0797,0.4139,5,0.4254,0.607,0.0013,0.07
3,80,0.0699,0.3747,5,0.4037,0.5876,0.0011,0.0704
3,90,0.0631,0.3431,5,0.323,0.5725,0.0008,0.0616
3,100,0.0843,0.4611,5,0.4267,0.5469,0.001,0.0792
3,110,0.0843,0.4667,5,0.4479,0.5282,0.001,0.0856
3,120,0.119,0.6669,5,0.6646,0.4985,0.0013,0.0796
3,130,0.089,0.5087,5,0.4839,0.4839,0.0009,0.0531
3,140,0.0809,0.4901,5,0.5068,0.4518,0.0008,0.0442
3,150,0.1103,0.6465,5,0.6075,0.4194,0.001,0.0604
3,160,0.1056,0.6336,5,0.6348,0.3881,0.001,0.0588
3,170,0.1087,0.6715,5,0.651,0.3501,0.0008,0.0486
3,180,0.1199,0.746,5,0.7433,0.3017,0.0009,0.0579
3,190,0.1471,0.9279,5,0.9419,0.2473,0.0011,0.0666
3,200,0.138,0.882,5,0.8641,0.2172,0.001,0.0725
3,210,0.1516,0.9982,5,1.0336,0.1559,0.0011,0.0785
3,220,0.1372,0.8999,5,0.8707,0.1457,0.0011,0.0772
3,230,0.1404,0.9422,5,0.9185,0.1184,0.0014,0.0701
3,240,0.1506,1.0327,5,0.999,0.1013,0.0017,0.0855
3,250,0.0982,0.6993,5,0.695,0.1072,0.0013,0.0441
3,260,0.1538,1.095,5,1.075,0.0916,0.0021,0.0751
3,270,0.1267,0.919,5,0.9343,0.0826,0.0016,0.074
3,280,0.115,0.8509,5,0.8355,0.0636,0.0014,0.0519
3,290,0.1216,0.93,5,0.9287,0.0533,0.0015,0.0685
3,300,0.1422,1.0935,5,1.0821,0.0394,0.0014,0.0722
3,310,0.139,1.0807,5,1.0482,0.0314,0.0013,0.0942
3,320,0.1081,0.8602,5,0.8211,0.0292,0.0009,0.0682
3,330,0.1347,1.1145,5,1.0785,0.0199,0.0012,0.0843
3,340,0.1329,1.1151,5,1.1031,0.0166,0.0012,0.0812
3,350,0.1557,1.3136,5,1.2706,0.0108,0.0015,0.1107
3,360,0.1125,1.0022,5,1.0262,0.0104,0.0011,0.1003
