version,step,R_mean,G_n_mean,n,q_tot_pred_mean,drbfn_loss,qi_loss,qtot_loss
3,960,0.4626,5.1743,5,5.3754,0.0259,0.0253,2.3453
3,970,0.4295,4.8661,5,4.9227,0.0239,0.0221,1.8372
3,980,0.4779,5.3389,5,5.3762,0.0258,0.0285,2.4711
3,990,0.4703,5.3627,5,5.1226,0.0246,0.0173,2.2858
3,1000,0.454,5.2081,5,5.1968,0.0259,0.0213,1.8669
3,1010,0.4765,5.4918,5,5.6419,0.025,0.0195,2.5656
3,1020,0.4558,5.2941,5,5.1884,0.0251,0.0164,2.2126
3,1030,0.4321,5.2073,5,5.3333,0.0276,0.0199,2.2742
3,1040,0.4545,5.3527,5,5.3756,0.0289,0.0186,1.9404
3,1050,0.4557,5.3481,5,5.3533,0.027,0.018,2.1577
3,1060,0.4595,5.35,5,5.3164,0.0258,0.0219,2.3984
3,1070,0.4179,4.9896,5,5.1935,0.0277,0.0239,2.7851
3,1080,0.4161,5.0256,5,5.1842,0.0272,0.0195,2.0554
3,1090,0.4739,5.4802,5,5.4186,0.0269,0.0325,2.5045
3,1100,0.4489,5.3371,5,5.6005,0.0289,0.0255,2.8106
3,1110,0.4702,5.4944,5,5.3919,0.026,0.0259,2.7915
3,1120,0.4556,5.4088,5,5.387,0.0281,0.0276,2.8516
3,1130,0.4251,5.1747,5,5.3686,0.0246,0.0214,1.8226
3,1140,0.4733,5.5359,5,5.4108,0.0288,0.028,2.7688
3,1150,0.4199,5.1882,5,5.2646,0.0286,0.0231,2.0546
3,1160,0.4315,5.2573,5,5.3151,0.0279,0.0229,2.1959
3,1170,0.421,5.2934,5,5.1794,0.0263,0.0281,2.0534
3,1180,0.3883,5.0404,5,5.043,0.0281,0.0238,1.7276
3,1190,0.4404,5.2146,5,5.1321,0.0307,0.0285,2.2981
3,1200,0.4666,5.6004,5,5.3897,0.0273,0.0304,2.638
3,1210,0.4402,5.3541,5,5.4082,0.0277,0.0285,1.9835
3,1220,0.457,5.4208,5,5.4111,0.03,0.0323,3.0038
