version,step,R_mean,G_n_mean,n,q_tot_pred_mean,drbfn_loss,qi_loss,qtot_loss
3,960,0.3778,4.3409,5,4.1838,0.0121,0.0063,1.1227
3,970,0.3659,4.2746,5,4.1945,0.0114,0.0037,0.6999
3,980,0.3531,4.1098,5,4.2593,0.0111,0.0044,0.4379
3,990,0.3649,4.2978,5,4.3308,0.0117,0.0038,0.5705
3,1000,0.3574,4.194,5,4.3132,0.0118,0.0035,1.1246
3,1010,0.3692,4.2489,5,4.3131,0.0109,0.0086,1.044
3,1020,0.36,4.2989,5,4.2739,0.0127,0.004,0.7
3,1030,0.371,4.3131,5,4.3342,0.0121,0.0044,0.8171
3,1040,0.3651,4.2833,5,4.3508,0.0131,0.0044,0.524
3,1050,0.3411,4.0749,5,4.0608,0.0125,0.0039,0.5701
3,1060,0.3805,4.3436,5,4.2418,0.0126,0.0076,1.062
3,1070,0.3642,4.3448,5,4.3642,0.0118,0.004,0.766
3,1080,0.3633,4.3395,5,4.4062,0.0117,0.0039,0.6979
3,1090,0.3817,4.3886,5,4.2765,0.0113,0.0065,0.883
3,1100,0.3959,4.496,5,4.4018,0.0115,0.0091,0.9452
3,1110,0.342,4.1358,5,3.6745,0.0139,0.006,1.5993
3,1120,0.3519,4.316,5,4.3462,0.0112,0.0045,0.7798
3,1130,0.3693,4.4209,5,4.6135,0.0109,0.0091,1.203
3,1140,0.3667,4.4033,5,4.297,0.012,0.0089,1.3543
3,1150,0.3571,4.3703,5,4.3042,0.0116,0.0042,0.6202
3,1160,0.3564,4.3522,5,4.5049,0.0106,0.0044,0.6311
3,1170,0.3796,4.4287,5,4.5046,0.0108,0.0082,1.1207
3,1180,0.3615,4.3765,5,4.3863,0.0129,0.0049,0.7116
3,1190,0.3822,4.4249,5,4.3399,0.0115,0.0115,1.1716
3,1200,0.3744,4.4088,5,4.36,0.012,0.0102,0.8554
3,1210,0.3728,4.4138,5,4.4573,0.0117,0.007,1.1186
3,1220,0.3148,3.8733,5,4.0058,0.0126,0.0047,0.5393
3,1230,0.3758,4.3795,5,4.4466,0.0123,0.0087,0.8756
