update,timesteps,fps,incre_win_rate_mean,eval_win_rate
0,800,92.0,,
5,4800,70.0,0.0,0.0
10,8800,86.0,0.0,
15,12800,95.0,0.0,
20,16800,89.0,0.0,
25,20800,91.0,0.0,
30,24800,90.0,0.0,0.0
35,28800,91.0,0.0,
40,32800,93.0,0.0,
45,36800,94.0,0.0,
50,40800,96.0,0.0,
55,44800,95.0,0.0,0.0
60,48800,96.0,0.0,
65,52800,98.0,0.0,
70,56800,99.0,0.0,
75,60800,100.0,0.0,
80,64800,99.0,0.0,0.0
85,68800,100.0,0.0,
90,72800,101.0,0.0,
95,76800,102.0,0.0,
100,80800,103.0,0.0,
105,84800,102.0,0.0,0.0
110,88800,103.0,0.0,
115,92800,104.0,0.0,
120,96800,104.0,0.0,
