version,step,R_mean,G_n_mean,n,q_tot_pred_mean,drbfn_loss,qi_loss,qtot_loss
3,920,0.0996,1.4031,5,1.4104,0.0014,0.0026,0.2002
3,930,0.0556,0.8953,5,0.9328,0.0014,0.0017,0.1285
3,940,0.0879,1.3255,5,1.3216,0.0015,0.0024,0.174
3,950,0.0811,1.1378,5,1.0991,0.0016,0.0019,0.1671
3,960,0.0953,1.378,5,1.3769,0.0014,0.0027,0.109
3,970,0.0922,1.3855,5,1.3473,0.0015,0.0027,0.0991
3,980,0.1009,1.4343,5,1.4141,0.0015,0.0032,0.2099
3,990,0.0916,1.3772,5,1.3556,0.0013,0.0033,0.1647
3,1000,0.0728,1.1233,5,1.148,0.0017,0.0027,0.271
3,1010,0.0802,1.2382,5,1.2121,0.0014,0.0028,0.0825
3,1020,0.0846,1.2743,5,1.2644,0.0014,0.0029,0.1506
3,1030,0.0633,1.0096,5,1.0585,0.0016,0.0022,0.0754
3,1040,0.0841,1.2471,5,1.2175,0.0013,0.0029,0.0898
3,1050,0.0648,0.9605,5,0.901,0.0013,0.002,0.0789
3,1060,0.084,1.31,5,1.3315,0.0016,0.0029,0.1223
3,1070,0.0798,1.2451,5,1.2297,0.0015,0.003,0.1429
3,1080,0.0876,1.347,5,1.3649,0.0014,0.0032,0.1014
3,1090,0.08,1.2609,5,1.2213,0.0014,0.0039,0.1067
3,1100,0.0714,1.12,5,1.1375,0.0014,0.0024,0.1216
3,1110,0.0678,1.1186,5,1.1105,0.0013,0.0022,0.097
3,1120,0.0707,1.1175,5,1.1287,0.0014,0.002,0.1297
3,1130,0.0882,1.3924,5,1.3974,0.0013,0.0033,0.0988
3,1140,0.0904,1.3884,5,1.351,0.0014,0.0028,0.1705
3,1150,0.1227,1.8067,5,1.7356,0.0015,0.0034,0.2185
3,1160,0.0963,1.4698,5,1.4217,0.0016,0.0029,0.1004
3,1170,0.0782,1.2175,5,1.2057,0.0013,0.0027,0.1067
3,1180,0.0818,1.3414,5,1.3544,0.0015,0.0028,0.0996
3,1190,0.0785,1.2444,5,1.2836,0.0015,0.0025,0.1095
3,1200,0.1135,1.7022,5,1.7241,0.0015,0.0038,0.098
3,1210,0.0776,1.2544,5,1.251,0.0015,0.0026,0.0972
3,1220,0.0809,1.2641,5,1.2531,0.0015,0.0024,0.1395
3,1230,0.0636,1.0689,5,1.0606,0.0016,0.0022,0.0688
3,1240,0.0951,1.5007,5,1.4772,0.0017,0.0032,0.1041
3,1250,0.0794,1.2576,5,1.2482,0.0017,0.0029,0.1066
3,1260,0.0815,1.2554,5,1.1997,0.0014,0.0025,0.0949
3,1270,0.0714,1.2297,5,1.2512,0.0015,0.0027,0.1525
3,1280,0.1014,1.6438,5,1.6637,0.0014,0.0039,0.1249
3,1290,0.1123,1.6916,5,1.6211,0.0017,0.0034,0.2061
3,1300,0.0864,1.4211,5,1.4327,0.0018,0.003,0.2773
3,1310,0.0624,1.0243,5,1.019,0.0016,0.0019,0.1549
3,1320,0.0842,1.408,5,1.4387,0.0013,0.003,0.1436
3,1330,0.0836,1.3705,5,1.3099,0.0016,0.0029,0.1155
3,1340,0.0769,1.2477,5,1.1889,0.0016,0.0026,0.0814
3,1350,0.0886,1.4527,5,1.469,0.0016,0.0032,0.1364
3,1360,0.101,1.5787,5,1.4964,0.0014,0.0035,0.1188
3,1370,0.0763,1.2802,5,1.3176,0.0016,0.0024,0.0969
3,1380,0.0814,1.3226,5,1.3326,0.0012,0.0027,0.1263
3,1390,0.0774,1.2813,5,1.2506,0.0013,0.0027,0.0818
3,1400,0.0653,1.1348,5,1.144,0.0014,0.0022,0.1374
3,1410,0.0944,1.5162,5,1.4732,0.0017,0.0033,0.1
3,1420,0.094,1.55,5,1.5681,0.0017,0.0037,0.1199
3,1430,0.0709,1.1967,5,1.1956,0.0015,0.0024,0.0861
3,1440,0.1186,1.8846,5,1.7295,0.0016,0.0043,0.1948
3,1450,0.0733,1.3018,5,1.3241,0.0014,0.0026,0.1232
3,1460,0.0671,1.1847,5,1.1692,0.0015,0.0022,0.0714
3,1470,0.1018,1.6574,5,1.6659,0.0019,0.005,0.4251
3,1480,0.0868,1.4643,5,1.4905,0.0014,0.003,0.1949
3,1490,0.0767,1.3092,5,1.3523,0.0015,0.0027,0.1198
3,1500,0.0937,1.5694,5,1.5778,0.0017,0.0033,0.1305
3,1510,0.083,1.4065,5,1.3803,0.0015,0.0028,0.1055
3,1520,0.0641,1.1415,5,1.1185,0.0014,0.0024,0.0722
3,1530,0.0775,1.3605,5,1.3185,0.0015,0.0028,0.0907
3,1540,0.0796,1.3443,5,1.3788,0.0015,0.0026,0.1744
3,1550,0.0873,1.4974,5,1.5035,0.0018,0.0032,0.0794
3,1560,0.0683,1.2506,5,1.2672,0.0016,0.0027,0.3369
3,1570,0.0884,1.5361,5,1.5167,0.0017,0.0032,0.2208
3,1580,0.0851,1.408,5,1.3632,0.0014,0.003,0.224
3,1590,0.0822,1.3704,5,1.3482,0.0015,0.0027,0.0949
3,1600,0.0916,1.5468,5,1.5129,0.0019,0.0032,0.1269
3,1610,0.0933,1.5182,5,1.5116,0.0014,0.0032,0.1161
3,1620,0.0967,1.6001,5,1.6133,0.0016,0.003,0.0846
3,1630,0.0568,1.095,5,1.0748,0.0017,0.0021,0.0611
3,1640,0.0628,1.1062,5,1.0769,0.0015,0.0023,0.1622
3,1650,0.0866,1.4463,5,1.4535,0.0015,0.003,0.2762
3,1660,0.0865,1.4257,5,1.4559,0.0014,0.003,0.1215
3,1670,0.1042,1.687,5,1.6286,0.0015,0.0032,0.1138
3,1680,0.0619,1.1361,5,1.1056,0.0015,0.0023,0.0696
3,1690,0.0886,1.5182,5,1.5355,0.0016,0.0029,0.1404
3,1700,0.0759,1.2891,5,1.2831,0.0016,0.0025,0.0749
3,1710,0.0593,1.1609,5,1.1636,0.0014,0.0022,0.0765
3,1720,0.0846,1.4652,5,1.4488,0.0016,0.0028,0.2509
3,1730,0.087,1.4912,5,1.5518,0.0016,0.0026,0.1786
3,1740,0.0876,1.4449,5,1.4419,0.0015,0.0031,0.2107
3,1750,0.1191,1.9301,5,1.8737,0.0014,0.004,0.2262
3,1760,0.0887,1.5319,5,1.5667,0.0016,0.0032,0.1737
3,1770,0.0911,1.5308,5,1.4676,0.0014,0.0031,0.1435
3,1780,0.0759,1.3639,5,1.3395,0.0015,0.0024,0.114
3,1790,0.084,1.5062,5,1.5076,0.0016,0.0034,0.1232
3,1800,0.0803,1.4449,5,1.4679,0.0016,0.0032,0.2614
3,1810,0.0986,1.7235,5,1.7772,0.0018,0.0036,0.1985
3,1820,0.0717,1.3237,5,1.258,0.0016,0.0026,0.1231
3,1830,0.0931,1.5727,5,1.5895,0.0013,0.0029,0.101
3,1840,0.0677,1.2976,5,1.3322,0.0014,0.003,0.2753
3,1850,0.0589,1.1401,5,1.2024,0.0015,0.0019,0.128
3,1860,0.0744,1.3434,5,1.3568,0.0016,0.0023,0.1917
3,1870,0.0693,1.2705,5,1.2432,0.0013,0.0022,0.12
3,1880,0.079,1.4016,5,1.3809,0.0014,0.0024,0.111
3,1890,0.0937,1.5902,5,1.6107,0.0015,0.003,0.0942
