update,timesteps,fps,incre_win_rate_mean,eval_win_rate
0,1600,73.0,,
5,9600,59.0,0.0,0.0
10,17600,65.0,0.0,
15,25600,68.0,0.0,
20,33600,70.0,0.0,
25,41600,72.0,0.0,
30,49600,68.0,0.0,0.0
35,57600,70.0,0.0,
40,65600,71.0,0.0,
45,73600,73.0,0.0,
50,81600,74.0,0.0,
55,89600,71.0,0.0,0.0
60,97600,72.0,0.0,
65,105600,73.0,0.0,
70,113600,74.0,0.0,
75,121600,75.0,0.0,
80,129600,72.0,0.0,0.0
85,137600,73.0,0.0,
90,145600,74.0,0.0,
95,153600,74.0,0.0,
100,161600,75.0,0.0,
105,169600,73.0,0.0,0.0
110,177600,74.0,0.0,
115,185600,74.0,0.0,
120,193600,75.0,0.0,
125,201600,76.0,0.0,
130,209600,74.0,0.0,0.0
135,217600,75.0,0.0,
140,225600,75.0,0.0,
145,233600,75.0,0.0,
150,241600,76.0,0.0,
155,249600,75.0,0.0,0.0
160,257600,75.0,0.0,
165,265600,75.0,0.0,
170,273600,75.0,0.0,
175,281600,75.0,0.0,
180,289600,74.0,0.0,0.0
185,297600,74.0,0.0,
190,305600,74.0,0.0,
195,313600,75.0,0.0,
200,321600,75.0,0.0,
205,329600,74.0,0.0,0.0
210,337600,74.0,0.0,
215,345600,75.0,0.0,
220,353600,75.0,0.0,
225,361600,75.0,0.0,
230,369600,75.0,0.0,0.0
235,377600,75.0,0.0,
240,385600,75.0,0.0,
245,393600,75.0,0.0,
250,401600,76.0,0.0,
255,409600,75.0,0.0,0.0
260,417600,75.0,0.0,
265,425600,75.0,0.0,
270,433600,75.0,0.0,
275,441600,76.0,0.0,
280,449600,75.0,0.0,0.0
285,457600,75.0,0.0,
290,465600,75.0,0.0,
295,473600,76.0,0.0,
300,481600,76.0,0.0,
305,489600,75.0,0.0,0.0
310,497600,75.0,0.0,
315,505600,75.0,0.0,
320,513600,76.0,0.0,
325,521600,76.0,0.0,
330,529600,75.0,0.0,0.0
335,537600,75.0,0.0,
340,545600,76.0,0.0,
345,553600,76.0,0.0,
350,561600,76.0,0.0,
355,569600,76.0,0.0,0.0
360,577600,76.0,0.0,
365,585600,77.0,0.0,
370,593600,77.0,0.0,
375,601600,78.0,0.0,
380,609600,77.0,0.0,0.0
385,617600,77.0,0.0,
390,625600,78.0,0.0,
395,633600,78.0,0.0,
400,641600,78.0,0.0,
405,649600,77.0,0.0,0.0
410,657600,78.0,0.0,
415,665600,78.0,0.0,
420,673600,78.0,0.0,
425,681600,78.0,0.0,
430,689600,78.0,0.0,0.0
435,697600,78.0,0.0,
440,705600,78.0,0.0,
445,713600,78.0,0.0,
450,721600,78.0,0.0,
455,729600,78.0,0.0,0.0
460,737600,78.0,0.0,
465,745600,78.0,0.0,
470,753600,78.0,0.0,
475,761600,78.0,0.0,
480,769600,78.0,0.0,0.0
